"Test ID","Test Name","Preconditions","Test Steps","Expected Result","Actual Result","Pass/Fail Status","Severity"
"NAV-PRE","Navigate Setup: Logging in","User is on login page.","1. Execute test assertions","Preconditions established.","Completed successfully","PASS","HIGH"
"NAV-01","Verify Sidebar Navigation - Dashboard Panel redirect","User is logged in on dashboard.","1. Execute test assertions","Dashboard page loaded.","Completed successfully","PASS","HIGH"
"NAV-02","Verify Sidebar Navigation - Sign Detection page load","User is logged in.","1. Execute test assertions","Sign Language Detection Workspace page loads correctly.","Completed successfully","PASS","HIGH"
"NAV-03","Verify Sidebar Navigation - Text to Speech page load","User is logged in.","1. Execute test assertions","Text to Speech Playground page loads successfully.","Completed successfully","PASS","HIGH"
"NAV-04","Verify Sidebar Navigation - Live Translate page load","User is logged in.","1. Execute test assertions","Live Translation Workspace loads.","Completed successfully","PASS","HIGH"
"NAV-05","Verify Sidebar Navigation - Learning Hub page load","User is logged in.","1. Execute test assertions","Vocabulary Learning Hub page loads.","Completed successfully","PASS","HIGH"
"NAV-06","Verify Sidebar Navigation - Emergency SOS page load","User is logged in.","1. Execute test assertions","SOS Emergency Control page loads.","Completed successfully","PASS","HIGH"
"NAV-07","Verify Sidebar Navigation - Prediction History page load","User is logged in.","1. Execute test assertions","Prediction Log Archives page loads.","Completed successfully","PASS","HIGH"
"NAV-08","Verify Sidebar Navigation - Preferences Settings page load","User is logged in.","1. Execute test assertions","System Preferences Settings page loads.","Completed successfully","PASS","HIGH"
"NAV-09","Verify Browser Navigation - Dashboard to settings and back","User is on settings page.","1. Execute test assertions","Browser back navigation triggers React Router history update successfully.","Completed successfully","PASS","HIGH"
"NAV-10","Verify Browser Navigation - Settings page forward restore","User navigated back to dashboard.","1. Execute test assertions","Browser forward navigation restores Settings page layout.","Completed successfully","PASS","HIGH"
"NAV-11","Verify Protected Route - Sign Detection page logout redirect","User logs out.","1. Execute test assertions","Guard intercepts unauthenticated user.","Completed successfully","PASS","HIGH"
"NAV-12","Verify Protected Route - Text to Speech logout redirect","User is logged out.","1. Execute test assertions","Guard intercepts user and redirects to login.","Completed successfully","PASS","HIGH"
"NAV-13","Verify Protected Route - Live Translate logout redirect","User is logged out.","1. Execute test assertions","Guard redirect triggered.","Completed successfully","PASS","HIGH"
"NAV-14","Verify Protected Route - Learning Hub logout redirect","User is logged out.","1. Execute test assertions","Guard redirect triggered.","Completed successfully","PASS","HIGH"
"NAV-15","Verify Protected Route - History Log logout redirect","User is logged out.","1. Execute test assertions","Guard redirect triggered.","Completed successfully","PASS","HIGH"
"RBAC-01","Standard User Sidebar View (Admin Panel hidden)","Log in as normal user.","1. Execute test assertions","Admin panel sidebar link is hidden from standard users.","Completed successfully","PASS","HIGH"
"RBAC-02","Standard User Route Restriction (Admin URL direct access blocked)","User is logged in as standard user.","1. Execute test assertions","Unauthorized standard user is redirected away from admin panel back to dashboard.","Completed successfully","PASS","HIGH"
"RBAC-03","Admin User login and welcome text","Log in as admin user.","1. Execute test assertions","Admin logs in successfully and page banner matches admin identifier.","Completed successfully","PASS","HIGH"
"RBAC-04","Admin User Sidebar View (Admin Panel visible)","Admin user is logged in.","1. Execute test assertions","Admin panel sidebar navigation link is loaded and visible to administrators.","Completed successfully","PASS","HIGH"
"RBAC-05","Admin User direct route access allowed to /admin","Admin user is logged in.","1. Execute test assertions","Admin panel dashboard loads successfully at /admin containing control widgets.","Completed successfully","PASS","HIGH"
"FORM-01","Emergency Contact - Relationship empty check","Admin is on SOS Control page and opens Add Contact.","Cleaning up existing contacts. Found 0 contacts.","A warning is displayed about required relationship.","Completed successfully","PASS","HIGH"
"FORM-02","Emergency Contact - Name empty check","Contact dialog is open.","1. Execute test assertions","Validation blocks submit due to empty name.","Completed successfully","PASS","HIGH"
"FORM-03","Emergency Contact - Phone empty check","Contact dialog is open.","1. Execute test assertions","Validation blocks submit due to empty phone.","Completed successfully","PASS","HIGH"
"FORM-04","Emergency Contact - Invalid Phone format validation (No + prefix)","Contact dialog is open.","1. Execute test assertions","System warning displays detailing that country code prefix + is missing.","Completed successfully","PASS","HIGH"
"FORM-05","Emergency Contact - Invalid Phone format validation (Too short)","Contact dialog is open.","1. Execute test assertions","Warning displays about short phone length constraints.","Completed successfully","PASS","HIGH"
"FORM-06","Emergency Contact - Invalid Phone format validation (Letters in phone)","Contact dialog is open.","1. Execute test assertions","Warning highlights that phone number must contain numbers only.","Completed successfully","PASS","HIGH"
"FORM-07","Emergency Contact - Limit of 5 Boundary Testing","Contact list is displayed.","1. Execute test assertions","Contact list max capacity limits users to 5 entries.","Failed to locate element using: {""using"":""xpath"",""value"":""//*[contains(text(), 'Relationship')]/parent::div//*[contains(@class, 'MuiSelect-select')]""}. Details: Waiting for element to be located By(xpath, //*[contains(text(), 'Relationship')]/parent::div//*[contains(@class, 'MuiSelect-select')])
Wait timed out after 10046ms","FAIL","HIGH"
"FORM-08","Emergency Contact - Duplicate Submission Prevention","Standard contact list.","1. Execute test assertions","System warning flags duplicate numbers.","Failed to locate element using: {""using"":""xpath"",""value"":""//form//*[contains(@class, 'MuiAlert-root')]""}. Details: Waiting for element to be located By(xpath, //form//*[contains(@class, 'MuiAlert-root')])
Wait timed out after 10067ms","FAIL","HIGH"
"FORM-09","Emergency Contact - Deletion modal confirmation cancel check","Contacts tab is open.","1. Execute test assertions","Cancel delete retains existing contact.","Completed successfully","PASS","HIGH"
"FORM-10","Emergency Contact - Delete and verify list count decrement","Contacts list is open.","1. Execute test assertions","Contact is successfully deleted and count is updated.","Completed successfully","PASS","HIGH"
"UI-01","Dashboard Welcome header rendering","Admin user is logged in.","1. Execute test assertions","Welcome title displays for logged in user.","Completed successfully","PASS","HIGH"
"UI-02","Metric Cards - Gestures recognized widget load","User is on control panel dashboard.","1. Execute test assertions","Dashboard renders gestures recognized metric counter.","Completed successfully","PASS","HIGH"
"UI-03","Metric Cards - Emergency alerts widget load","User is on dashboard.","1. Execute test assertions","Dashboard renders active SOS warnings counter.","Completed successfully","PASS","HIGH"
"UI-04","Metric Cards - Vocabulary learned widget load","User is on dashboard.","1. Execute test assertions","Dashboard renders total vocabulary cards checked counter.","Completed successfully","PASS","HIGH"
"UI-05","History Log - table structure","User is on prediction history page.","Seeding mock history log entry to prevent query empty-state timeouts
Refreshing History page to pull new record","Logs table headers are properly rendered.","Completed successfully","PASS","HIGH"
"UI-06","History Log - search filtering","User is on prediction history page.","1. Execute test assertions","Logs are dynamically filtered.","Completed successfully","PASS","HIGH"
"UI-07","History Log - search clearing","Search query is active.","1. Execute test assertions","Original row items restore after search clearing.","Completed successfully","PASS","HIGH"
"UI-08","History Log - Search query with zero matches displays empty state","User on history logs.","1. Execute test assertions","History logs table displays zero rows or fallback warning text.","Completed successfully","PASS","HIGH"
"UI-09","Settings Page - Theme switch appearance toggle (light mode)","User is on settings page.","1. Execute test assertions","Dynamic class light mode is applied to DOM element html.","Completed successfully","PASS","HIGH"
"UI-10","Settings Page - Theme switch appearance toggle (dark mode restore)","Theme light mode is active.","1. Execute test assertions","Theme dark mode restores.","Completed successfully","PASS","HIGH"
"FEAT-01","Sign Detection - Camera View Placeholder Render","User is on Sign Detection page.","1. Execute test assertions","AI sign workspace displays video placeholder element.","Completed successfully","PASS","HIGH"
"FEAT-02","Sign Detection - Gestures select dropdown check","Sign Detection is open.","1. Execute test assertions","Voice and translation controls are visible on sign detection page.","Completed successfully","PASS","HIGH"
"FEAT-03","Sign Detection - Start detection button status change","User is on Sign Detection.","1. Execute test assertions","Status bar swaps to recording state visual labels.","Completed successfully","PASS","HIGH"
"FEAT-04","Sign Detection - Stop detection button state recovery","Recording is active.","1. Execute test assertions","Status indicator switches back to idle.","Completed successfully","PASS","HIGH"
"FEAT-05","Text-to-Speech - Textarea input character count validation","User is on Text-to-Speech page.","1. Execute test assertions","Textarea is rendered and accepts custom input.","Completed successfully","PASS","HIGH"
"FEAT-06","Text-to-Speech - Play speed slider default value verification","User on Text to Speech page.","1. Execute test assertions","Default speed slider displays 1.0x text label.","Completed successfully","PASS","HIGH"
"FEAT-07","Text-to-Speech - Clear text button clears textarea","Textarea contains sample values.","1. Execute test assertions","TextArea fields values are correctly reset.","Completed successfully","PASS","HIGH"
"FEAT-08","Live Translate - Language swap button functionality","User is on Live Translate page.","1. Execute test assertions","Languages selections swap roles.","Completed successfully","PASS","HIGH"
"FEAT-09","Learning Hub - category toggle buttons check","User is on Learning page.","1. Execute test assertions","Selected category filter button updates styling.","Completed successfully","PASS","HIGH"
"FEAT-10","Learning Hub - card check","Alphabet filter is active.","1. Execute test assertions","Card progress indicates 100% completion.","Completed successfully","PASS","HIGH"
"SEC-01","Sensitive cache - tokenized credentials validation","User is logged in.","1. Execute test assertions","Storage uses tokens, ensuring passwords details are never cached in cleartext.","Completed successfully","PASS","HIGH"
"SEC-02","Browser console log scanner - no secrets exposed","Logs are active.","1. Execute test assertions","Browser console is clean and does not leak API keys or user passwords.","Completed successfully","PASS","HIGH"
"SEC-03","Local storage theme persistence","Theme preference has been updated.","Active stored theme choice: dark","Theme variable state persists across views in browser local storage key.","Completed successfully","PASS","HIGH"
"SEC-04","Settings page auto-play configuration state check","User settings are cached.","Autoplay status preference: null","Custom settings options are stored cleanly.","Completed successfully","PASS","HIGH"
"SEC-05","Cookie/Storage cleanup state on logout check","User triggers logout.","1. Execute test assertions","Client local cache resets on session exit.","Completed successfully","PASS","HIGH"
"DYN-001","Login Page Parameterized Field Check #1","User is on the login page.","Navigating to login page","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-002","Login Page Parameterized Field Check #2","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-003","Login Page Parameterized Field Check #3","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-004","Login Page Parameterized Field Check #4","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-005","Login Page Parameterized Field Check #5","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-006","Login Page Parameterized Field Check #6","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-007","Login Page Parameterized Field Check #7","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-008","Login Page Parameterized Field Check #8","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-009","Login Page Parameterized Field Check #9","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-010","Login Page Parameterized Field Check #10","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-011","Login Page Parameterized Field Check #11","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-012","Login Page Parameterized Field Check #12","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-013","Login Page Parameterized Field Check #13","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-014","Login Page Parameterized Field Check #14","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-015","Login Page Parameterized Field Check #15","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-016","Login Page Parameterized Field Check #16","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-017","Login Page Parameterized Field Check #17","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-018","Login Page Parameterized Field Check #18","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-019","Login Page Parameterized Field Check #19","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-020","Login Page Parameterized Field Check #20","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-021","Login Page Parameterized Field Check #21","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-022","Login Page Parameterized Field Check #22","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-023","Login Page Parameterized Field Check #23","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-024","Login Page Parameterized Field Check #24","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-025","Login Page Parameterized Field Check #25","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-026","Login Page Parameterized Field Check #26","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-027","Login Page Parameterized Field Check #27","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-028","Login Page Parameterized Field Check #28","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-029","Login Page Parameterized Field Check #29","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-030","Login Page Parameterized Field Check #30","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-031","Login Page Parameterized Field Check #31","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-032","Login Page Parameterized Field Check #32","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-033","Login Page Parameterized Field Check #33","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-034","Login Page Parameterized Field Check #34","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-035","Login Page Parameterized Field Check #35","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-036","Login Page Parameterized Field Check #36","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-037","Login Page Parameterized Field Check #37","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-038","Login Page Parameterized Field Check #38","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-039","Login Page Parameterized Field Check #39","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-040","Login Page Parameterized Field Check #40","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-041","Login Page Parameterized Field Check #41","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-042","Login Page Parameterized Field Check #42","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-043","Login Page Parameterized Field Check #43","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-044","Login Page Parameterized Field Check #44","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-045","Login Page Parameterized Field Check #45","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-046","Login Page Parameterized Field Check #46","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-047","Login Page Parameterized Field Check #47","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-048","Login Page Parameterized Field Check #48","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-049","Login Page Parameterized Field Check #49","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-050","Login Page Parameterized Field Check #50","User is on the login page.","1. Execute test assertions","Email input field is type=""email"".","Completed successfully","PASS","LOW"
"DYN-051","Register Page Parameterized Field Check #1","User is on the register page.","Navigating to register page","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-052","Register Page Parameterized Field Check #2","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-053","Register Page Parameterized Field Check #3","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-054","Register Page Parameterized Field Check #4","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-055","Register Page Parameterized Field Check #5","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-056","Register Page Parameterized Field Check #6","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-057","Register Page Parameterized Field Check #7","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-058","Register Page Parameterized Field Check #8","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-059","Register Page Parameterized Field Check #9","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-060","Register Page Parameterized Field Check #10","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-061","Register Page Parameterized Field Check #11","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-062","Register Page Parameterized Field Check #12","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-063","Register Page Parameterized Field Check #13","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-064","Register Page Parameterized Field Check #14","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-065","Register Page Parameterized Field Check #15","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-066","Register Page Parameterized Field Check #16","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-067","Register Page Parameterized Field Check #17","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-068","Register Page Parameterized Field Check #18","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-069","Register Page Parameterized Field Check #19","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-070","Register Page Parameterized Field Check #20","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-071","Register Page Parameterized Field Check #21","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-072","Register Page Parameterized Field Check #22","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-073","Register Page Parameterized Field Check #23","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-074","Register Page Parameterized Field Check #24","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-075","Register Page Parameterized Field Check #25","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-076","Register Page Parameterized Field Check #26","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-077","Register Page Parameterized Field Check #27","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-078","Register Page Parameterized Field Check #28","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-079","Register Page Parameterized Field Check #29","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-080","Register Page Parameterized Field Check #30","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-081","Register Page Parameterized Field Check #31","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-082","Register Page Parameterized Field Check #32","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-083","Register Page Parameterized Field Check #33","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-084","Register Page Parameterized Field Check #34","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-085","Register Page Parameterized Field Check #35","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-086","Register Page Parameterized Field Check #36","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-087","Register Page Parameterized Field Check #37","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-088","Register Page Parameterized Field Check #38","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-089","Register Page Parameterized Field Check #39","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-090","Register Page Parameterized Field Check #40","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-091","Register Page Parameterized Field Check #41","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-092","Register Page Parameterized Field Check #42","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-093","Register Page Parameterized Field Check #43","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-094","Register Page Parameterized Field Check #44","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-095","Register Page Parameterized Field Check #45","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-096","Register Page Parameterized Field Check #46","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-097","Register Page Parameterized Field Check #47","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-098","Register Page Parameterized Field Check #48","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-099","Register Page Parameterized Field Check #49","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-100","Register Page Parameterized Field Check #50","User is on the register page.","1. Execute test assertions","Password input field is type=""password"".","Completed successfully","PASS","LOW"
"DYN-101","Forgot Password Page Parameterized Field Check #1","User is on the forgot password page.","Navigating to forgot password page","Email input field exists.","Completed successfully","PASS","LOW"
"DYN-102","Forgot Password Page Parameterized Field Check #2","User is on the forgot password page.","1. Execute test assertions","Email input field exists.","Completed successfully","PASS","LOW"
"DYN-103","Forgot Password Page Parameterized Field Check #3","User is on the forgot password page.","1. Execute test assertions","Email input field exists.","Completed successfully","PASS","LOW"
